0.106910s;I2C, R, Data, 0x06, Nack,,,
0.107065s;I2C, Stop,,,,,,
0.107088s;I2C, Start,,,,,,
0.107100s;I2C, W, Address, 0xd4, Ack,,,
0.107997s;I2C, W, Data, 0x22, Ack,,,
0.108210s;I2C, Repeat start,,,,,,
0.108222s;I2C, R, Address, 0xd5, Ack,,,
0.108384s;I2C, R, Data, 0x48, Nack,,,
0.108548s;I2C, Stop,,,,,,
0.108571s;I2C, Start,,,,,,
0.108583s;I2C, W, Address, 0xd4, Ack,,,
0.108743s;I2C, W, Data, 0x23, Ack,,,
0.108950s;I2C, Repeat start,,,,,,
0.108962s;I2C, R, Address, 0xd5, Ack,,,
0.109167s;I2C, R, Data, 0x01, Nack,,,
0.109322s;I2C, Stop,,,,,,
0.109345s;I2C, Start,,,,,,
0.109357s;I2C, W, Address, 0xd4, Ack,,,
0.109517s;I2C, W, Data, 0x24, Ack,,,
0.109720s;I2C, Repeat start,,,,,,
0.109732s;I2C, R, Address, 0xd5, Ack,,,
0.109898s;I2C, R, Data, 0x44, Nack,,,
0.110049s;I2C, Stop,,,,,,
0.110072s;I2C, Start,,,,,,
0.110084s;I2C, W, Address, 0xd4, Ack,,,
0.110244s;I2C, W, Data, 0x25, Ack,,,
0.110453s;I2C, Repeat start,,,,,,
0.110465s;I2C, R, Address, 0xd5, Ack,,,
0.110629s;I2C, R, Data, 0x00, Nack,,,
0.110785s;I2C, Stop,,,,,,
0.110807s;I2C, Start,,,,,,
0.110819s;I2C, W, Address, 0xd4, Ack,,,
0.110979s;I2C, W, Data, 0x26, Ack,,,
0.111233s;I2C, Repeat start,,,,,,
0.111245s;I2C, R, Address, 0xd5, Ack,,,
0.111409s;I2C, R, Data, 0x27, Nack,,,
0.111565s;I2C, Stop,,,,,,
0.111587s;I2C, Start,,,,,,
0.111600s;I2C, W, Address, 0xd4, Ack,,,
0.111759s;I2C, W, Data, 0x27, Ack,,,
0.111966s;I2C, Repeat start,,,,,,
0.111978s;I2C, R, Address, 0xd5, Ack,,,
0.112144s;I2C, R, Data, 0xff, Nack,,,
0.112298s;I2C, Stop,,,,,,
0.112474s;I2C, Start,,,,,,
0.112486s;I2C, W, Address, 0x3c, Ack,,,
0.112646s;I2C, W, Data, 0x68, Ack,,,
0.112853s;I2C, Repeat start,,,,,,
0.112865s;I2C, R, Address, 0x3d, Ack,,,
0.113029s;I2C, R, Data, 0x19, Nack,,,
0.113189s;I2C, Stop,,,,,,
0.113211s;I2C, Start,,,,,,
0.113224s;I2C, W, Address, 0x3c, Ack,,,
0.113383s;I2C, W, Data, 0x69, Ack,,,
0.113590s;I2C, Repeat start,,,,,,
0.113601s;I2C, R, Address, 0x3d, Ack,,,
0.113764s;I2C, R, Data, 0x00, Nack,,,
0.113920s;I2C, Stop,,,,,,
0.113943s;I2C, Start,,,,,,
0.113955s;I2C, W, Address, 0x3c, Ack,,,
0.114115s;I2C, W, Data, 0x6a, Ack,,,
0.114328s;I2C, Repeat start,,,,,,
0.114340s;I2C, R, Address, 0x3d, Ack,,,
0.114510s;I2C, R, Data, 0x33, Nack,,,
0.114665s;I2C, Stop,,,,,,
0.114688s;I2C, Start,,,,,,
0.114700s;I2C, W, Address, 0x3c, Ack,,,
0.114860s;I2C, W, Data, 0x6b, Ack,,,
0.115067s;I2C, Repeat start,,,,,,
0.115085s;I2C, R, Address, 0x3d, Ack,,,
0.115249s;I2C, R, Data, 0x00, Nack,,,
0.115403s;I2C, Stop,,,,,,
0.115425s;I2C, Start,,,,,,
0.115438s;I2C, W, Address, 0x3c, Ack,,,
0.115597s;I2C, W, Data, 0x6c, Ack,,,
0.115804s;I2C, Repeat start,,,,,,
0.115816s;I2C, R, Address, 0x3d, Ack,,,
0.115978s;I2C, R, Data, 0x1c, Nack,,,
0.116134s;I2C, Stop,,,,,,
0.116156s;I2C, Start,,,,,,
0.116169s;I2C, W, Address, 0x3c, Ack,,,
0.116326s;I2C, W, Data, 0x6d, Ack,,,
0.116539s;I2C, Repeat start,,,,,,
0.116552s;I2C, R, Address, 0x3d, Ack,,,
0.116718s;I2C, R, Data, 0xfe, Nack,,,
0.116869s;I2C, Stop,,,,,,
0.137093s;I2C, Start,,,,,,
0.137105s;I2C, W, Address, 0xd4, Ack,,,
0.137265s;I2C, W, Data, 0x1e, Ack,,,
0.137472s;I2C, Repeat start,,,,,,
0.137484s;I2C, R, Address, 0xd5, Ack,,,
0.137648s;I2C, R, Data, 0x07, Nack,,,
0.137802s;I2C, Stop,,,,,,
